Namespace,Location,Name,Type
DR1,003b6f64,hs_kotodama_end_check,Function
DR1,003dc028,hs_script_isGenocider,Function
DR1,408350,hs_sound_se_each_release,Function
DR1,003a8d80,hs_char2d_move_chk,Function
DR1,0045398c,hs_trial_mtb_text_bomb_start,Function
DR1,0044edf0,hs_trial_gage_data_set,Function
DR1,003d1d9c,hs_screen_tansaku_data_free,Function
DR1,003c5780,hs_result_hit_score_get,Function
DR1,434924,hs_pb_option_draw,Function
DR1,003d3ae8,hs_script_ctr_reset,Function
DR1,0042c88c,hs_pb_loading_update,Function
DR1,00449c0c,hs_trial_script_ret_order_no,Function
DR1,0041d9b0,Dr1_Survival_GetExpTableCleaningParam,Function
DR1,0041fcfc,hs_pb_common_csr_color_sys_get,Function
DR1,0041e548,DR1_Survival_ShowCurtain,Function
DR1,003c6640,hs_result_hi_chapter_score_get,Function
DR1,003aa850,hs_charamodel_disp_set,Function
DR1,0042b074,hs_pb_kotodama_num_get,Function
DR1,0043ae70,hs_trial_anagram_text_target_pos,Function
DR1,003c514c,hs_result_rest_time_get,Function
DR1,0045f474,hs_trial_vibe_init,Function
DR1,0042e274,hs_pb_map_update,Function
DR1,0044c7e0,hs_trial_criminal_control,Function
DR1,003a77e8,hs_char2d_nextload,Function
DR1,0041e8c0,hs_pb_backlog_open_init,Function
DR1,003a6424,hs_camera_pos_set,Function
DR1,0040b844,hs_system_guide_fla_close,Function
DR1,428114,hs_pb_kotodama_change_init,Function
DR1,0046db00,dr1_survival_ui_get_old_state,Function
DR1,0044999c,hs_trial_giron_new_flag,Function
DR1,003abb74,hs_charamodel_selectanime_all_close,Function
DR1,0040ad28,hs_system_guide_fla_resource_load_update,Function
DR1,004152ec,hs_tansaku_release_select,Function
DR1,0040c6ac,hs_system_guide_update_frame,Function
DR1,003d1778,hs_screen_time_close,Function
DR1,0043d378,hs_trial_bullet_data_set,Function
DR1,003db1e0,hs_script_nextload,Function
DR1,0044ac30,hs_trial_complete_free,Function
DR1,003a2508,hs_bgmodel_nextload,Function
DR1,004085dc,hs_sound_se_load_check,Function
DR1,00415cd8,hs_top_menu_exec,Function
DR1,0044f110,hs_trial_gage_num_set,Function
DR1,003c6c2c,hs_result_phase_init,Function
DR1,00434eac,hs_pb_option_get_tpage_arrow_icn,Function
DR1,00427bf0,hs_pb_item_icn_is_loaded_at,Function
DR1,004085e0,hs_sound_se_resident_load,Function
DR1,421580,hs_pb_common_cursor_update,Function
DR1,0040a88c,hs_system_guide_resource_load_update,Function
DR1,003caab4,hs_savedata_backup,Function
DR1,00425d88,hs_pb_item_details_cancel_update,Function
DR1,417544,hs_ui_font_all_clear,Function
DR1,00416d60,hs_trophy_trial_init,Function
